datID sessionID block trial background target forePeriod resp rt
401 361 6 12 0 10 33 1 0.31
402 361 6 13 0 18 35 1 0.313
403 361 6 14 1 5 31 0 0.177
404 361 6 15 0 17 32 1 0.205
405 361 6 16 2 20 31 0 0.212
406 361 6 17 2 9 35 0 0.187
407 361 6 18 2 13 32 1 0.182
408 361 6 19 0 19 33 1 0.14
409 361 6 20 0 1 31 0 0.282
410 361 6 21 2 12 31 0 0.355
411 361 6 22 2 15 32 0 0.456
412 361 6 23 1 10 32 1 0.427
413 361 6 24 2 9 32 0 0.494
414 361 6 25 1 6 34 0 0.334
415 361 6 26 0 16 31 1 0.229
416 361 6 27 1 14 33 1 0.335
417 361 6 28 0 4 34 0 0.308
418 361 6 29 1 8 31 0 0.524
419 361 6 30 0 0 32 0 0.316
420 361 6 31 1 17 31 1 0.196
421 361 6 32 0 1 31 0 0.352
422 361 6 33 1 3 31 0 0.322
423 361 6 34 1 19 31 1 0.266
424 361 6 35 2 14 32 1 0.595
425 361 6 36 0 17 32 1 0.32
426 361 6 37 0 13 31 1 0.296
427 361 6 38 1 3 31 0 0.304
428 361 6 39 0 16 38 1 0.212
429 361 6 40 1 17 31 1 0.336
430 361 6 41 2 0 36 0 0.356
431 361 6 42 2 5 31 0 0.33
432 361 6 43 2 12 36 1 0.302
433 361 6 44 1 2 31 0 0.309
434 361 6 45 1 20 34 1 0.257
435 361 6 46 2 16 36 1 0.296
436 361 6 47 1 0 38 0 0.25
437 361 6 48 2 19 32 1 0.29
438 361 6 49 1 19 37 1 0.295
439 361 6 50 2 11 31 0 0.301
440 361 6 51 2 4 33 1 0.196
441 361 6 52 0 9 32 0 0.442
442 361 6 53 2 11 31 1 0.825
443 361 6 54 1 8 35 1 0.572
444 361 6 55 2 5 39 0 0.358
445 361 6 56 0 5 38 0 0.31
446 361 6 57 0 6 31 0 0.286
447 361 6 58 2 7 33 0 0.374
448 361 6 59 1 14 32 1 0.251
449 361 6 60 0 13 32 1 0.323
450 361 6 61 0 15 38 1 0.224
451 361 6 62 2 10 33 0 0.276
452 361 7 0 0 3 36 0 0.342
453 361 7 1 2 9 38 0 0.313
454 361 7 2 0 16 33 1 0.208
455 361 7 3 1 7 31 0 0.312
456 361 7 4 1 14 33 1 0.527
457 361 7 5 1 12 34 1 0.504
458 361 7 6 0 18 31 1 0.47
459 361 7 7 2 17 33 1 0.343
460 361 7 8 0 8 33 0 0.283
461 361 7 9 1 1 37 0 0.369
462 361 7 10 0 2 32 0 0.29
463 361 7 11 0 18 31 1 0.379
464 361 7 12 0 18 35 1 0.286
465 361 7 13 1 3 31 0 0.343
466 361 7 14 2 3 32 0 0.302
467 361 7 15 1 15 32 1 0.341
468 361 7 16 2 17 32 1 0.3
469 361 7 17 1 8 32 0 0.291
470 361 7 18 0 0 39 0 0.343
471 361 7 19 0 15 32 1 0.238
472 361 7 20 1 16 31 1 0.373
473 361 7 21 0 9 31 1 0.314
474 361 7 22 2 20 32 0 0.264
475 361 7 23 0 10 31 1 0.562
476 361 7 24 0 10 33 0 0.542
477 361 7 25 1 16 32 1 0.301
478 361 7 26 0 0 31 0 0.341
479 361 7 27 2 18 37 1 0.353
480 361 7 28 2 16 31 1 0.263
481 361 7 29 1 14 34 1 0.271
482 361 7 30 1 9 33 0 0.439
483 361 7 31 1 0 31 0 0.362
484 361 7 32 0 0 34 0 0.287
485 361 7 33 2 18 33 1 0.246
486 361 7 34 1 3 34 0 0.303
487 361 7 35 2 6 36 0 0.244
488 361 7 36 1 2 32 0 0.334
489 361 7 37 1 8 34 1 0.355
490 361 7 38 1 19 34 0 0.344
491 361 7 39 0 15 31 1 0.399
492 361 7 40 2 1 31 0 0.361
493 361 7 41 1 13 33 1 0.398
494 361 7 42 0 4 34 0 0.401
495 361 7 43 2 13 32 1 0.277
496 361 7 44 1 10 33 1 0.317
497 361 7 45 1 4 32 0 0.24
498 361 7 46 2 1 31 0 0.378
499 361 7 47 1 2 32 0 0.345
500 361 7 48 0 9 31 1 0.32
501 361 7 49 0 0 33 0 0.183
502 361 7 50 0 20 38 1 0.286
503 361 7 51 2 4 31 0 0.343
504 361 7 52 1 18 31 1 0.333
505 361 7 53 1 11 32 1 0.418
506 361 7 54 2 7 37 0 0.237
507 361 7 55 1 11 31 1 0.296
508 361 7 56 1 5 33 0 0.22
509 361 7 57 0 19 32 1 0.225
510 361 7 58 1 11 31 1 0.396
511 361 7 59 2 10 33 0 0.479
512 361 7 60 1 4 31 0 0.352
513 361 7 61 2 8 31 0 0.288
514 361 7 62 1 1 33 0 0.264
515 362 0 0 2 2 34 0 1.052
516 362 0 1 0 2 31 0 1.637
517 362 0 2 1 14 34 1 0.566
518 362 0 3 0 18 31 1 0.301
519 362 0 4 1 8 33 1 0.352
520 362 0 5 2 8 31 0 0.513
521 362 0 6 1 19 33 1 0.334
522 362 0 7 0 19 32 1 0.292
523 362 0 8 2 10 31 0 0.389
524 362 0 9 1 18 33 1 0.26
525 362 0 10 0 14 32 0 0.264
526 362 0 11 0 13 32 1 0.8
527 362 0 12 1 16 38 1 0.525
528 362 0 13 0 20 32 1 0.407
529 362 0 14 1 6 37 0 1.028
530 362 0 15 0 9 32 0 0.701
531 362 0 16 0 8 31 0 0.502
532 362 0 17 2 12 31 0 0.645
533 362 0 18 1 3 34 1 0.328
534 362 0 19 1 20 31 1 0.606
535 362 0 20 1 13 32 0 0.698
536 362 0 21 0 10 33 0 0.591
537 362 0 22 0 17 36 0 1.145
538 362 0 23 1 5 34 0 0.586
539 362 0 24 2 6 32 0 0.467
540 362 0 25 2 3 31 0 0.501
541 362 0 26 2 14 35 0 0.641
542 362 0 27 0 4 33 0 0.667
543 362 0 28 2 20 35 1 0.386
