datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
353 433 1 32 23 41 1 7 7 0.604
354 433 1 33 23 41 0 2 2 1.194
355 433 1 34 23 41 1 8 8 1.953
356 433 1 35 23 41 1 7 6 2.635
357 433 1 36 23 41 1 5 5 1.606
358 433 1 37 23 41 1 7 7 3.437
359 433 1 38 23 41 0 2 2 0.906
360 433 1 39 23 41 0 4 4 1.676
361 433 1 40 23 41 1 7 7 1.409
362 433 1 41 23 41 0 2 2 0.799
363 433 1 42 23 41 1 8 8 1.311
364 433 1 43 23 41 1 6 6 1.669
365 433 1 44 23 41 1 8 8 1.232
366 433 1 45 23 41 0 4 4 1.656
367 433 1 46 23 41 1 5 5 1.82
368 433 1 47 23 41 1 7 7 1.962
369 433 1 48 23 41 1 7 6 1.075
370 433 1 49 23 41 0 1 1 2.308
371 433 1 50 23 41 0 1 1 0.557
372 433 1 51 23 41 0 2 2 0.973
373 433 1 52 23 41 1 7 7 2.283
374 433 1 53 23 41 0 1 1 4.597
375 433 1 54 23 41 0 1 1 0.477
376 433 1 55 23 41 0 1 1 0.502
377 433 1 56 23 41 1 6 6 2.017
378 433 1 57 23 41 1 6 6 1.901
379 433 1 58 23 41 0 3 3 2.592
380 433 1 59 23 41 1 8 8 1.157
381 433 1 60 23 41 1 8 8 0.637
382 433 1 61 23 41 1 7 7 3.047
383 433 1 62 23 41 0 3 3 1.593
384 433 1 63 23 41 0 3 3 0.512
385 433 1 64 23 41 0 4 4 1.33
386 433 1 65 23 41 1 5 5 2.372
387 433 1 66 23 41 1 8 8 6.701
388 433 1 67 23 41 0 1 1 7.992
389 433 1 68 23 41 0 4 4 1.673
390 433 1 69 23 41 0 1 1 0.817
391 433 1 70 23 41 1 5 5 1.589
392 433 1 71 23 41 1 7 7 3.762
393 433 1 72 23 41 0 3 3 1.514
394 433 1 73 23 41 0 1 1 2.149
395 433 1 74 23 41 1 5 6 1.991
396 433 1 75 23 41 0 3 3 1.747
397 433 1 76 23 41 1 7 7 1.893
398 433 1 77 23 41 0 3 3 1.52
399 433 1 78 23 41 1 8 8 1.22
400 433 1 79 23 41 1 6 5 5.313
401 433 2 0 23 41 0 1 2 1.277
402 433 2 1 23 41 1 5 5 1.741
403 433 2 2 23 41 0 4 4 1.837
404 433 2 3 23 41 1 6 6 4.907
405 433 2 4 23 41 1 8 8 0.91
406 433 2 5 23 41 0 4 4 1.76
407 433 2 6 23 41 1 6 6 2.459
408 433 2 7 23 41 1 5 5 1.078
409 433 2 8 23 41 0 1 1 1.073
410 433 2 9 23 41 1 7 7 2.509
411 433 2 10 23 41 0 4 4 1.425
412 433 2 11 23 41 1 8 8 0.991
413 433 2 12 23 41 1 5 5 1.324
414 433 2 13 23 41 1 7 7 5.581
415 433 2 14 23 41 0 1 1 2.933
416 433 2 15 23 41 1 5 5 3.575
417 433 2 16 23 41 1 8 8 0.976
418 433 2 17 23 41 1 6 6 6.694
419 433 2 18 23 41 0 3 3 1.65
420 433 2 19 23 41 0 1 1 2.2
421 433 2 20 23 41 0 1 1 1.09
422 433 2 21 23 41 1 8 8 0.923
423 433 2 22 23 41 0 2 2 0.974
