datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
441 444 2 40 23 41 1 3 3 1.026
442 444 2 41 23 41 1 4 5 1.633
443 444 2 42 23 41 1 7 6 1.109
444 444 2 43 23 41 1 3 3 1.305
445 444 2 44 23 41 1 3 3 0.474
446 444 2 45 23 41 1 1 1 1.471
447 444 2 46 23 41 1 5 4 1.211
448 444 2 47 23 41 1 5 5 0.417
449 444 2 48 23 41 1 1 2 1.017
450 444 2 49 23 41 1 1 1 0.328
451 444 2 50 23 41 1 1 1 0.363
452 444 2 51 23 41 1 5 3 1.226
453 444 2 52 23 41 1 5 4 1.401
454 444 2 53 23 41 2 8 7 1.275
455 444 2 54 23 41 1 5 4 0.823
456 444 2 55 23 41 1 2 2 1.123
457 444 2 56 23 41 1 4 3 0.732
458 444 2 57 23 41 1 2 2 1.089
459 444 2 58 23 41 1 6 6 1.5
460 444 2 59 23 41 1 1 2 1.206
461 444 2 60 23 41 1 2 2 0.553
462 444 2 61 23 41 1 3 3 0.81
463 444 2 62 23 41 1 5 5 1.089
464 444 2 63 23 41 1 2 3 1.772
465 444 2 64 23 41 1 1 1 0.598
466 444 2 65 23 41 1 3 3 0.933
467 444 2 66 23 41 2 8 8 1.842
468 444 2 67 23 41 1 7 8 0.421
469 444 2 68 23 41 1 3 5 1.017
470 444 2 69 23 41 1 6 5 1.051
471 444 2 70 23 41 1 7 7 0.897
472 444 2 71 23 41 1 7 7 0.645
473 444 2 72 23 41 1 7 7 0.593
474 444 2 73 23 41 2 8 8 0.576
475 444 2 74 23 41 2 8 8 0.432
476 444 2 75 23 41 1 5 6 1.047
477 444 2 76 23 41 1 5 5 0.502
478 444 2 77 23 41 1 6 6 0.649
479 444 2 78 23 41 1 2 2 3.174
480 444 2 79 23 41 1 1 1 0.541
